window,feature_set,model,auprc_mean,auroc_mean,f1_mean,recall_mean
w2,F0,lgbm,0.34054,0.66274,0.39075,0.533375
w2,F1,lgbm,0.338699,0.663197,0.39173,0.536096
w2,F2,lgbm,0.344506,0.666222,0.396404,0.546305
w2,F3,lgbm,0.340902,0.663289,0.39251,0.525592
w2,F4,lgbm,0.343414,0.665071,0.390267,0.529295
w2,F0,lr,0.341766,0.672516,0.401153,0.627217
w2,F1,lr,0.341357,0.672175,0.401159,0.626687
w2,F2,lr,0.344153,0.674027,0.403934,0.630344
w2,F3,lr,0.343273,0.673406,0.401648,0.62356
w2,F4,lr,0.340987,0.672637,0.401465,0.62455
w4,F0,lgbm,0.361925,0.689332,0.403274,0.573724
w4,F1,lgbm,0.348836,0.682727,0.398506,0.578008
w4,F2,lgbm,0.360647,0.688567,0.403911,0.584931
w4,F3,lgbm,0.365496,0.691223,0.403734,0.568296
w4,F4,lgbm,0.363142,0.689597,0.402954,0.561127
w4,F0,lr,0.351136,0.687228,0.396575,0.617785
w4,F1,lr,0.341369,0.683225,0.388717,0.62336
w4,F2,lr,0.351419,0.688194,0.399216,0.621252
w4,F3,lr,0.352513,0.689983,0.399458,0.62083
w4,F4,lr,0.353004,0.690092,0.397826,0.62054
w6,F0,lgbm,0.335268,0.690437,0.381835,0.568398
w6,F1,lgbm,0.321166,0.682114,0.379717,0.550033
w6,F2,lgbm,0.334054,0.69157,0.384064,0.574362
w6,F3,lgbm,0.334183,0.694455,0.386951,0.577212
w6,F4,lgbm,0.335235,0.692063,0.380083,0.576075
w6,F0,lr,0.337198,0.701208,0.3884,0.6237
w6,F1,lr,0.311129,0.690883,0.377565,0.593503
w6,F2,lr,0.33739,0.70206,0.389174,0.623305
w6,F3,lr,0.33294,0.700546,0.386175,0.618296
w6,F4,lr,0.332627,0.700176,0.387022,0.6206
